case_id,baseline_median_ms,deployed_median_ms,deployed_p90_ms,speedup,peak_memory_bytes,correctness_passed,estimated_model_flops,estimated_achieved_tflops,attention_flop_share
official_01,1.7270880341529846,0.2181120067834854,0.21913599967956543,7.918353783555912,29291520,True,7516192768,34.46024305970989,0.14285714285714285
official_02,1.8713600039482117,0.07168000191450119,0.07168000191450119,26.10714221492825,21288448,True,117440512,1.638399956239974,0.14285714285714285
official_03,1.8664640188217163,0.08191999793052673,0.08294399827718735,22.783985180329157,22074880,True,469762048,5.734400144863132,0.14285714285714285
official_04,1.9101279973983765,0.09728000313043594,0.09830400347709656,19.63536118350263,16702464,True,1879048192,19.315873062632573,0.14285714285714285
official_05,3.9045119285583496,0.4208639860153198,0.4465664029121399,9.27737240129694,20780032,True,15032385536,35.71791846179209,0.14285714285714285
official_06,491.9541320800781,36.81792068481445,37.04647521972656,13.361811936408037,1343380480,True,1174405120000,31.89764924678061,0.14285714285714285
official_07,1.7934720516204834,0.07372800260782242,0.07372800260782242,24.325520673066478,13016064,True,671088640,9.102221900268848,0.4
official_08,21.433951377868652,6.280704021453857,6.61923828125,3.412667004312539,285740032,True,420906795008,67.01586216612839,0.02040816326530612
official_09,1.5125759840011597,0.2017280012369156,0.20285439491271975,7.4980963214162015,29291520,True,7516192768,37.25904545682159,0.14285714285714285
official_10,1.6846399903297424,0.19763199985027313,0.19865599274635315,8.524125605195682,29291520,True,7516192768,38.031253914823004,0.14285714285714285
official_11,7.94215989112854,0.24268800020217896,0.24483840018510822,32.72580384902456,29291520,True,7516192768,30.9705991303171,0.14285714285714285
official_12,1.755840003490448,0.1013759970664978,0.10239999741315842,17.320076293194937,16702464,True,1677721600,16.54949542838523,0.04
official_13,120.42956924438477,3.337216019630432,3.468287944793701,36.086836613507955,213531136,True,120259084288,36.03575063184482,0.5714285714285714
official_14,,17244.3359375,17244.3359375,,7047528448,True,1391250636800000,80.67870179764643,0.9421163702140488
